hid,type1,type2,month,m_id,q6_1,q6_1_1,q6_1_2,q6_1_3,q6_1_4,q6_1_5,q6_1_6,q6_1_7,q6_1_8,q6_2_a,q6_2_b,q6_2_c,q6_3,q6_4_1,q6_4_2,q6_4_3,q6_4_4,q6_4_5,q6_4_6,q6_4_7,q6_4_8,q6_4_9,q6_4_10,q6_4_11,q6_4_12,q6_4_13,q6_4_1a,q6_4_2a,q6_4_3a,q6_4_4a,q6_4_5a,q6_4_6a,q6_4_7a,q6_4_8a,q6_4_9a,q6_4_10a,q6_4_11a,q6_4_12a,q6_4_13a,q6_5_1,q6_5_2,q6_5_3,q6_5_4,q6_5_5,q6_5_6,q6_5_7,q6_5_8,q6_5_9,q6_5_10,q6_5_11,q6_5_12,q6_5_13,q6_5_14,q6_5_15,q6_5_16,q6_5_17,q6_5_18,q6_5_19,q6_5_20,q6_5_21,q6_6,q6_7,q6_8,q11_b_1_1,q11_b_1_1a,q11_b_1_2,q11_b_1_2a,q11_b_1_3,q11_b_1_3a,q11_b_2_1,q11_b_2_1a,q11_b_2_2,q11_b_2_2a,q11_b_2_3,q11_b_2_3a,q11_b_3_1,q11_b_3_1a,q11_b_3_2,q11_b_3_2a,q11_b_3_3,q11_b_3_3a,q11_b_4_1,q11_b_4_1a,q11_b_4_2,q11_b_4_2a,q11_b_4_3,q11_b_4_3a,q11_b_5_1,q11_b_5_1a,q11_b_5_2,q11_b_5_2a,q11_b_5_3,q11_b_5_3a,q11_b_6_1,q11_b_6_1a,q11_b_6_2,q11_b_6_2a,q11_b_6_3,q11_b_6_3a,q11_b_7_1,q11_b_7_1a,q11_b_7_2,q11_b_7_2a,q11_b_7_3,q11_b_7_3a,q11_b_8_1,q11_b_8_1a,q11_b_8_2,q11_b_8_2a,q11_b_8_3,q11_b_8_3a,q11_b_9_1,q11_b_9_1a,q11_b_9_2,q11_b_9_2a,q11_b_9_3,q11_b_9_3a,wt
12757,1,2,10,112164,936,010,,,,,,,,1,2,5,8,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,,,,6,,8,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,7684.99453
12758,1,2,7,100972,922,070,,,,,,,,15,7,4,6,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,4,4,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000,,,,,,3355.732841
12759,1,2,8,112171,911,110,190,,,,,,,1,2,15,1,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,17,,,,21,4,4,4,,,,,,,10000,,,,,,90000,,,,,,100000,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.772164
12759,1,2,8,112169,938,350,070,,,,,,,7,3,5,1,,,,,,,,,,10,,,,,,,,,,,,,3,,,,1,2,3,,,,,,,,,,,,,,17,,,,,4,4,4,,,,,,,10000,,,,,,50000,,,,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.772164
12759,1,1,5,100996,922,310,,,,,,,,2,1,7,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,,,,,,,,,,12,,,,,,,,,,4,4,4,0,,0,,0,,0,,0,,0,,10000,31,0,,0,,20000,31,0,,0,,20000,31,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2352.772164
12759,1,2,12,112175,938,070,,,,,,,,7,11,2,1,,,,,,,,,,10,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,,,,,,17,,,,,4,4,4,,,,,,,10000,,,,,,,,,,,,90000,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.772164
12759,1,2,8,112171,933,010,,,,,,,,7,1,5,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.772164
12760,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8253.105462
12761,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4371.366412
12762,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7684.99453
